hero,pick_total,pick_wins,pick_losses,ban_count,win_rate,Role_Normalized
aamon,71,39,32,41,47.80333333333333,Assassin
akai,1581,799,782,1260,44.79773195876289,Tank
aldous,129,72,57,129,56.30380952380953,Fighter
alice,1069,541,528,677,48.35514285714286,Mage
alpha,525,253,272,300,46.655,Fighter
alucard,45,23,22,21,40.245294117647056,Assassin
angela,1184,528,656,2753,40.0575,Other
argus,8,1,7,1,8.333333333333334,Fighter
arlott,1609,799,810,1581,46.96857142857142,Assassin
atlas,407,216,191,610,49.8708,Tank
aulus,106,58,48,89,47.98363636363637,Fighter
aurora,519,261,258,257,44.830232558139535,Mage
badang,698,332,366,428,42.24351351351351,Fighter
balmond,526,253,273,350,47.94948717948718,Fighter
bane,394,196,198,187,44.746538461538464,Mage
barats,1128,540,588,898,37.12438356164383,Fighter
baxia,2013,1006,1007,2246,45.54488095238095,Tank
beatrix,1945,1031,914,821,52.443536585365855,Marksman
belerick,174,78,96,37,34.45926829268293,Tank
benedetta,1254,622,632,805,46.320259740259736,Assassin
brody,1039,488,551,577,43.17805555555556,Marksman
bruno,1289,638,651,651,47.18604651162791,Marksman
carmilla,281,129,152,83,34.7604,Tank
cecilion,752,340,412,507,38.39391891891892,Mage
chang'e,414,188,226,254,40.18533333333333,Mage
chip,411,228,183,2426,58.777499999999996,Tank
chou,3385,1748,1637,1703,51.98821782178218,Fighter
cici,1227,598,629,1343,45.848181818181814,Fighter
claude,2763,1358,1405,1854,45.419200000000004,Marksman
clint,638,302,336,222,39.701864406779656,Marksman
cyclops,133,54,79,9,36.79807692307692,Mage
diggie,625,316,309,1249,44.92044776119403,Other
dyrroth,561,300,261,448,50.49508474576271,Fighter
edith,1533,810,723,963,50.79454545454546,Marksman
esmeralda,2316,1111,1205,1409,45.471529411764706,Mage
estes,302,163,139,294,46.328545454545456,Other
eudora,150,92,58,96,58.48909090909091,Mage
fanny,888,397,491,4967,40.21870588235294,Assassin
faramis,1351,713,638,1837,48.3528,Mage
floryn,200,86,114,188,42.77605263157895,Other
franco,881,476,405,1035,48.14878048780488,Tank
fredrinn,2488,1300,1188,1273,49.97609375,Fighter
freya,48,18,30,81,36.74227272727273,Fighter
gatotkaca,1761,872,889,824,50.95891304347826,Fighter
gloo,985,527,458,951,45.56315789473685,Tank
gord,269,132,137,81,41.250571428571426,Mage
granger,1963,1031,932,802,49.39759259259259,Marksman
grock,2589,1191,1398,1985,42.736179775280895,Fighter
guinevere,437,234,203,258,48.46666666666667,Fighter
gusion,375,198,177,206,55.78228571428572,Assassin
hanabi,75,34,41,42,33.27333333333333,Marksman
hanzo,154,56,98,237,31.828857142857142,Assassin
harith,2462,1307,1155,3073,47.01943181818182,Mage
harley,362,174,188,139,40.169,Assassin
hayabusa,2146,1092,1054,1954,49.130744680851066,Assassin
helcurt,437,221,216,712,47.198235294117644,Assassin
hilda,1060,511,549,1111,50.41463768115942,Fighter
hylos,1602,749,853,1110,45.2495,Tank
irithel,925,441,484,420,46.065714285714286,Marksman
ixia,183,102,81,176,47.79176470588236,Marksman
jawhead,1324,674,650,1383,50.24260869565217,Fighter
johnson,93,39,54,83,34.6995652173913,Tank
joy,1307,631,676,2418,46.040333333333336,Assassin
julian,666,325,341,564,52.12842105263158,Mage
kadita,727,402,325,1124,51.12910256410257,Assassin
kagura,1131,560,571,438,47.769375,Mage
kaja,1388,741,647,1535,50.441874999999996,Fighter
kalea,831,451,380,1108,53.81047619047619,Fighter
karina,498,253,245,398,43.92725,Assassin
karrie,2123,996,1127,821,44.32081632653061,Marksman
khaleed,1026,502,524,721,49.7654054054054,Fighter
khufra,1543,740,803,1125,42.97378048780487,Tank
kimmy,1250,670,580,826,50.180454545454545,Mage
lancelot,1859,937,922,1757,47.12573033707865,Assassin
lapu-lapu,1454,698,756,488,46.53493150684932,Fighter
layla,20,13,7,1,62.0,Marksman
leomord,359,171,188,85,40.82636363636363,Fighter
lesley,178,77,101,134,41.689,Assassin
ling,1636,808,828,2393,46.32223529411765,Assassin
lolita,836,443,393,333,51.99061538461538,Tank
lukas,348,175,173,460,44.52315789473685,Fighter
lunox,1598,822,776,965,44.97813953488372,Mage
luo yi,811,473,338,1700,56.68432835820895,Mage
lylia,1066,492,574,669,42.251999999999995,Mage
martis,1057,470,587,547,37.766716417910445,Fighter
masha,478,244,234,874,46.06716666666667,Fighter
mathilda,1699,866,833,3756,47.75913580246913,Assassin
melissa,474,229,245,372,44.97955555555556,Marksman
minotaur,1166,619,547,1012,45.69088235294117,Tank
minsitthar,145,67,78,135,37.45382978723404,Fighter
miya,25,12,13,4,32.619285714285716,Marksman
moskov,1393,670,723,1096,44.388333333333335,Marksman
nana,215,96,119,84,35.34972222222222,Mage
natalia,312,146,166,732,45.9095918367347,Assassin
natan,809,427,382,586,44.1011320754717,Marksman
nolan,726,364,362,1068,48.58894736842105,Assassin
novaria,1049,547,502,952,47.32769230769231,Mage
obsidia,77,38,39,25,49.417,Marksman
odette,81,47,34,53,54.18642857142857,Mage
paquito,2043,1042,1001,1472,48.187681159420286,Assassin
pharsa,2525,1249,1276,1402,52.72244186046512,Mage
phoveus,1508,789,719,2318,47.85638888888889,Fighter
popol and kupa,691,348,343,664,49.195945945945944,Marksman
rafaela,826,411,415,448,44.24208955223881,Other
roger,1547,720,827,865,42.567321428571425,Marksman
ruby,1833,857,976,1228,43.382409638554215,Fighter
saber,169,82,87,49,48.111428571428576,Assassin
selena,1175,599,576,2063,44.851052631578945,Assassin
silvanna,176,81,95,29,38.031176470588235,Fighter
sun,69,39,30,35,47.97666666666667,Fighter
suyou,852,453,399,347,54.33379310344828,Assassin
terizla,1755,859,896,841,46.467014925373135,Fighter
thamuz,1267,639,628,437,44.62407894736842,Fighter
tigreal,678,364,314,710,49.92241935483871,Tank
uranus,1556,777,779,1556,48.698,Tank
vale,108,54,54,29,46.362307692307695,Mage
valentina,2870,1336,1534,2784,48.53716216216216,Mage
valir,432,208,224,417,43.054,Mage
vexana,1061,483,578,528,40.6204347826087,Mage
wanwan,1010,568,442,2504,50.1404938271605,Marksman
x.borg,1302,653,649,1219,48.5505,Fighter
xavier,314,159,155,137,40.73488372093023,Mage
yi sun-shin,1391,758,633,796,58.523999999999994,Assassin
yin,46,19,27,52,36.61071428571428,Assassin
yu zhong,1671,810,861,1431,42.93280487804878,Fighter
yve,2057,1070,987,2140,48.06765432098766,Mage
zetian,76,39,37,51,37.89111111111111,Mage
zhask,495,268,227,360,48.17205882352941,Mage
zhuxin,1193,614,579,2166,50.46909090909091,Mage
zilong,25,6,19,0,16.17625,Assassin
