hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality
109,Aamon,Assassin,Jungle,0.99,54.05,54.1,"Chase, Magic Damage"
9,Akai,Tank,Roam,0.49,48.93,0.57,"Guard, Crowd Control"
64,Aldous,Fighter,Exp Lane,0.19,49.33,0.12,"Burst, Support"
4,Alice,Tank,Exp Lane,1.06,50.75,64.14,"Charge, Regen"
28,Alpha,Fighter,Jungle,0.74,48.57,0.18,"Charge, Damage"
7,Alucard,Fighter,Jungle,1.36,52.98,15.39,"Chase, Damage"
55,Angela,Support,Roam,1.74,52.1,73.09,"Guard, Support"
45,Argus,Fighter,Exp Lane,0.19,51.43,0.29,"Charge, Burst"
120,Arlott,Fighter,Exp Lane,1.35,47.98,23.86,"Charge, Burst"
93,Atlas,Tank,Roam,0.45,49.7,0.59,"Crowd Control, Initiator"
108,Aulus,Fighter,Jungle,0.07,51.21,0.04,"Damage, Crowd Control"
36,Aurora,Mage,Mid Lane,0.21,47.26,0.03,"Crowd Control, Poke"
77,Badang,Fighter,Exp Lane,1.13,50.09,2.36,"Charge, Burst"
2,Balmond,Fighter,Jungle,0.53,42.6,1.3,"Damage, Regen"
11,Bane,Fighter,Jungle,1.11,49.9,8.04,"Push, Burst"
99,Barats,Tank,Jungle,0.08,48.91,0.05,"Damage, Crowd Control"
87,Baxia,Tank,Jungle,0.32,50.28,0.72,"Support, Damage"
105,Beatrix,Marksman,Gold Lane,0.67,48.54,0.1,"Finisher, Damage"
70,Belerick,Tank,Roam,0.99,48.09,3.78,"Crowd Control, Regen"
97,Benedetta,Assassin,Exp Lane,0.59,49.58,0.6,"Chase, Burst"
100,Brody,Marksman,Gold Lane,0.75,51.91,0.34,"Burst, Finisher"
12,Bruno,Marksman,Gold Lane,0.23,50.05,0.05,"Finisher, Burst"
92,Carmilla,Support,Roam,0.73,49.14,0.99,"Crowd Control, Damage"
91,Cecilion,Mage,Mid Lane,0.87,49.96,0.14,"Poke, Burst"
61,Chang'e,Mage,Mid Lane,0.92,48.23,0.56,"Poke, Burst"
124,Chip,Support,Roam,0.09,47.88,1.46,"Support, Crowd Control"
26,Chou,Fighter,Exp Lane,0.82,44.19,1.08,"Chase, Control"
123,Cici,Fighter,Exp Lane,1.81,53.54,55.97,"Damage, Regen"
65,Claude,Marksman,Gold Lane,0.81,46.97,0.1,"Burst, Chase"
