hero,Primary_Role,total_picks,total_wins,total_losses,total_bans,overall_win_rate
aamon,Assassin,71,39,32,41,54.93
akai,Tank,1581,799,782,1260,50.54
aldous,Fighter,129,72,57,129,55.81
alice,Mage,1069,541,528,677,50.61
alpha,Fighter,525,253,272,300,48.19
alucard,Assassin,45,23,22,21,51.11
angela,Tank,1184,528,656,2753,44.59
argus,Fighter,8,1,7,1,12.5
arlott,Assassin,1609,799,810,1581,49.66
atlas,Tank,407,216,191,610,53.07
aulus,Fighter,106,58,48,89,54.72
aurora,Mage,519,261,258,257,50.29
badang,Fighter,698,332,366,428,47.56
balmond,Fighter,526,253,273,350,48.1
bane,Mage,394,196,198,187,49.75
barats,Fighter,1128,540,588,898,47.87
baxia,Tank,2013,1006,1007,2246,49.98
beatrix,Marksman,1945,1031,914,821,53.01
belerick,Tank,174,78,96,37,44.83
benedetta,Assassin,1254,622,632,805,49.6
brody,Marksman,1039,488,551,577,46.97
bruno,Marksman,1289,638,651,651,49.5
carmilla,Tank,281,129,152,83,45.91
cecilion,Mage,752,340,412,507,45.21
chang'e,Mage,414,188,226,254,45.41
chip,Tank,411,228,183,2426,55.47
chou,Fighter,3385,1748,1637,1703,51.64
cici,Fighter,1227,598,629,1343,48.74
claude,Marksman,2763,1358,1405,1854,49.15
clint,Marksman,638,302,336,222,47.34
cyclops,Mage,133,54,79,9,40.6
diggie,Tank,625,316,309,1249,50.56
dyrroth,Fighter,561,300,261,448,53.48
edith,Marksman,1533,810,723,963,52.84
esmeralda,Mage,2316,1111,1205,1409,47.97
estes,Tank,302,163,139,294,53.97
eudora,Mage,150,92,58,96,61.33
fanny,Assassin,888,397,491,4967,44.71
faramis,Mage,1351,713,638,1837,52.78
floryn,Tank,200,86,114,188,43.0
franco,Tank,881,476,405,1035,54.03
fredrinn,Fighter,2488,1300,1188,1273,52.25
freya,Fighter,48,18,30,81,37.5
gatotkaca,Fighter,1761,872,889,824,49.52
gloo,Tank,985,527,458,951,53.5
gord,Mage,269,132,137,81,49.07
granger,Marksman,1963,1031,932,802,52.52
grock,Fighter,2589,1191,1398,1985,46.0
guinevere,Fighter,437,234,203,258,53.55
gusion,Assassin,375,198,177,206,52.8
hanabi,Marksman,75,34,41,42,45.33
hanzo,Assassin,154,56,98,237,36.36
harith,Mage,2462,1307,1155,3073,53.09
harley,Assassin,362,174,188,139,48.07
hayabusa,Assassin,2146,1092,1054,1954,50.89
helcurt,Assassin,437,221,216,712,50.57
hilda,Fighter,1060,511,549,1111,48.21
hylos,Tank,1602,749,853,1110,46.75
irithel,Marksman,925,441,484,420,47.68
ixia,Marksman,183,102,81,176,55.74
jawhead,Fighter,1324,674,650,1383,50.91
johnson,Tank,93,39,54,83,41.94
joy,Assassin,1307,631,676,2418,48.28
julian,Mage,666,325,341,564,48.8
kadita,Assassin,727,402,325,1124,55.3
kagura,Mage,1131,560,571,438,49.51
kaja,Fighter,1388,741,647,1535,53.39
kalea,Fighter,831,451,380,1108,54.27
karina,Assassin,498,253,245,398,50.8
karrie,Marksman,2123,996,1127,821,46.91
khaleed,Fighter,1026,502,524,721,48.93
khufra,Tank,1543,740,803,1125,47.96
kimmy,Mage,1250,670,580,826,53.6
lancelot,Assassin,1859,937,922,1757,50.4
lapu-lapu,Fighter,1454,698,756,488,48.01
layla,Marksman,20,13,7,1,65.0
leomord,Fighter,359,171,188,85,47.63
lesley,Assassin,178,77,101,134,43.26
ling,Assassin,1636,808,828,2393,49.39
lolita,Tank,836,443,393,333,52.99
lukas,Fighter,348,175,173,460,50.29
lunox,Mage,1598,822,776,965,51.44
luo yi,Mage,811,473,338,1700,58.32
lylia,Mage,1066,492,574,669,46.15
martis,Fighter,1057,470,587,547,44.47
masha,Fighter,478,244,234,874,51.05
mathilda,Assassin,1699,866,833,3756,50.97
melissa,Marksman,474,229,245,372,48.31
minotaur,Tank,1166,619,547,1012,53.09
minsitthar,Fighter,145,67,78,135,46.21
miya,Marksman,25,12,13,4,48.0
moskov,Marksman,1393,670,723,1096,48.1
nana,Mage,215,96,119,84,44.65
natalia,Assassin,312,146,166,732,46.79
natan,Marksman,809,427,382,586,52.78
nolan,Assassin,726,364,362,1068,50.14
novaria,Mage,1049,547,502,952,52.14
obsidia,Marksman,77,38,39,25,49.35
odette,Mage,81,47,34,53,58.02
paquito,Assassin,2043,1042,1001,1472,51.0
pharsa,Mage,2525,1249,1276,1402,49.47
phoveus,Fighter,1508,789,719,2318,52.32
popol and kupa,Marksman,691,348,343,664,50.36
rafaela,Tank,826,411,415,448,49.76
roger,Marksman,1547,720,827,865,46.54
ruby,Fighter,1833,857,976,1228,46.75
saber,Assassin,169,82,87,49,48.52
selena,Assassin,1175,599,576,2063,50.98
silvanna,Fighter,176,81,95,29,46.02
sun,Fighter,69,39,30,35,56.52
suyou,Assassin,852,453,399,347,53.17
terizla,Fighter,1755,859,896,841,48.95
thamuz,Fighter,1267,639,628,437,50.43
tigreal,Tank,678,364,314,710,53.69
uranus,Tank,1556,777,779,1556,49.94
vale,Mage,108,54,54,29,50.0
valentina,Mage,2870,1336,1534,2784,46.55
valir,Mage,432,208,224,417,48.15
vexana,Mage,1061,483,578,528,45.52
wanwan,Marksman,1010,568,442,2504,56.24
x.borg,Fighter,1302,653,649,1219,50.15
xavier,Mage,314,159,155,137,50.64
yi sun-shin,Assassin,1391,758,633,796,54.49
yin,Assassin,46,19,27,52,41.3
yu zhong,Fighter,1671,810,861,1431,48.47
yve,Mage,2057,1070,987,2140,52.02
zetian,Mage,76,39,37,51,51.32
zhask,Mage,495,268,227,360,54.14
zhuxin,Mage,1193,614,579,2166,51.47
zilong,Assassin,25,6,19,0,24.0
