hero,Primary_Role,total_picks,total_wins,total_losses,total_bans,overall_win_rate,total_matches,ban_rate,cluster
aamon,Assassin,71,39,32,41,54.93,112,36.607142857142854,0
akai,Tank,1581,799,782,1260,50.54,2841,44.350580781415,1
aldous,Fighter,129,72,57,129,55.81,258,50.0,0
alice,Mage,1069,541,528,677,50.61,1746,38.774341351660944,0
alpha,Fighter,525,253,272,300,48.19,825,36.36363636363637,0
alucard,Assassin,45,23,22,21,51.11,66,31.818181818181817,0
angela,Other,1184,528,656,2753,44.59,3937,69.9263398526797,1
argus,Fighter,8,1,7,1,12.5,9,11.11111111111111,2
arlott,Assassin,1609,799,810,1581,49.66,3190,49.56112852664577,1
atlas,Tank,407,216,191,610,53.07,1017,59.9803343166175,0
aulus,Fighter,106,58,48,89,54.72,195,45.64102564102564,0
aurora,Mage,519,261,258,257,50.29,776,33.118556701030926,0
badang,Fighter,698,332,366,428,47.56,1126,38.01065719360569,0
balmond,Fighter,526,253,273,350,48.1,876,39.95433789954338,0
bane,Mage,394,196,198,187,49.75,581,32.18588640275387,0
barats,Fighter,1128,540,588,898,47.87,2026,44.32379072063179,1
baxia,Tank,2013,1006,1007,2246,49.98,4259,52.73538389293261,1
beatrix,Marksman,1945,1031,914,821,53.01,2766,29.681851048445406,1
belerick,Tank,174,78,96,37,44.83,211,17.535545023696685,0
benedetta,Assassin,1254,622,632,805,49.6,2059,39.096648858669255,0
brody,Marksman,1039,488,551,577,46.97,1616,35.70544554455445,0
bruno,Marksman,1289,638,651,651,49.5,1940,33.55670103092783,0
carmilla,Tank,281,129,152,83,45.91,364,22.802197802197803,0
cecilion,Mage,752,340,412,507,45.21,1259,40.27005559968229,0
chang'e,Mage,414,188,226,254,45.41,668,38.02395209580838,0
chip,Tank,411,228,183,2426,55.47,2837,85.51286570320762,1
chou,Fighter,3385,1748,1637,1703,51.64,5088,33.47091194968554,1
cici,Fighter,1227,598,629,1343,48.74,2570,52.25680933852141,1
claude,Marksman,2763,1358,1405,1854,49.15,4617,40.15594541910331,1
clint,Marksman,638,302,336,222,47.34,860,25.813953488372093,0
cyclops,Mage,133,54,79,9,40.6,142,6.338028169014084,0
diggie,Other,625,316,309,1249,50.56,1874,66.64887940234792,1
dyrroth,Fighter,561,300,261,448,53.48,1009,44.400396432111,0
edith,Marksman,1533,810,723,963,52.84,2496,38.581730769230774,1
esmeralda,Mage,2316,1111,1205,1409,47.97,3725,37.8255033557047,1
estes,Other,302,163,139,294,53.97,596,49.328859060402685,0
eudora,Mage,150,92,58,96,61.33,246,39.02439024390244,0
fanny,Assassin,888,397,491,4967,44.71,5855,84.83347566182749,1
faramis,Mage,1351,713,638,1837,52.78,3188,57.62233375156838,1
floryn,Other,200,86,114,188,43.0,388,48.45360824742268,0
franco,Tank,881,476,405,1035,54.03,1916,54.0187891440501,1
fredrinn,Fighter,2488,1300,1188,1273,52.25,3761,33.84738101568732,1
freya,Fighter,48,18,30,81,37.5,129,62.7906976744186,0
gatotkaca,Fighter,1761,872,889,824,49.52,2585,31.87620889748549,1
gloo,Tank,985,527,458,951,53.5,1936,49.12190082644628,1
gord,Mage,269,132,137,81,49.07,350,23.142857142857142,0
granger,Marksman,1963,1031,932,802,52.52,2765,29.00542495479204,1
grock,Fighter,2589,1191,1398,1985,46.0,4574,43.39746392654132,1
guinevere,Fighter,437,234,203,258,53.55,695,37.12230215827338,0
gusion,Assassin,375,198,177,206,52.8,581,35.45611015490533,0
hanabi,Marksman,75,34,41,42,45.33,117,35.8974358974359,0
hanzo,Assassin,154,56,98,237,36.36,391,60.61381074168798,0
harith,Mage,2462,1307,1155,3073,53.09,5535,55.519421860885274,1
harley,Assassin,362,174,188,139,48.07,501,27.744510978043913,0
hayabusa,Assassin,2146,1092,1054,1954,50.89,4100,47.65853658536585,1
helcurt,Assassin,437,221,216,712,50.57,1149,61.96692776327241,0
hilda,Fighter,1060,511,549,1111,48.21,2171,51.17457392906495,1
hylos,Tank,1602,749,853,1110,46.75,2712,40.929203539823014,1
irithel,Marksman,925,441,484,420,47.68,1345,31.226765799256505,0
ixia,Marksman,183,102,81,176,55.74,359,49.02506963788301,0
jawhead,Fighter,1324,674,650,1383,50.91,2707,51.08976727004063,1
johnson,Tank,93,39,54,83,41.94,176,47.159090909090914,0
joy,Assassin,1307,631,676,2418,48.28,3725,64.91275167785236,1
julian,Mage,666,325,341,564,48.8,1230,45.85365853658537,0
kadita,Assassin,727,402,325,1124,55.3,1851,60.72393300918423,1
kagura,Mage,1131,560,571,438,49.51,1569,27.915869980879542,0
kaja,Fighter,1388,741,647,1535,53.39,2923,52.514539856312005,1
kalea,Fighter,831,451,380,1108,54.27,1939,57.14285714285714,1
karina,Assassin,498,253,245,398,50.8,896,44.419642857142854,0
karrie,Marksman,2123,996,1127,821,46.91,2944,27.887228260869566,1
khaleed,Fighter,1026,502,524,721,48.93,1747,41.27074985689754,0
khufra,Tank,1543,740,803,1125,47.96,2668,42.1664167916042,1
kimmy,Mage,1250,670,580,826,53.6,2076,39.78805394990366,1
lancelot,Assassin,1859,937,922,1757,50.4,3616,48.5896017699115,1
lapu-lapu,Fighter,1454,698,756,488,48.01,1942,25.12873326467559,0
layla,Marksman,20,13,7,1,65.0,21,4.761904761904762,0
leomord,Fighter,359,171,188,85,47.63,444,19.144144144144143,0
lesley,Assassin,178,77,101,134,43.26,312,42.94871794871795,0
ling,Assassin,1636,808,828,2393,49.39,4029,59.39439066765947,1
lolita,Tank,836,443,393,333,52.99,1169,28.485885372112918,0
lukas,Fighter,348,175,173,460,50.29,808,56.930693069306926,0
