hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality,pick_rate_normalized,win_rate_normalized,ban_rate_normalized
9,Akai,Tank,Roam,0.49,48.93,0.57,"Guard, Crowd Control",0.19004524886877827,0.4380622837370245,0.010297482837528604
64,Aldous,Fighter,Exp Lane,0.19,49.33,0.12,"Burst, Support",0.054298642533936646,0.46574394463667845,0.0017162471395881008
28,Alpha,Fighter,Jungle,0.74,48.57,0.18,"Charge, Damage",0.3031674208144796,0.413148788927336,0.0028604118993135015
7,Alucard,Fighter,Jungle,1.36,52.98,15.39,"Chase, Damage",0.583710407239819,0.7183391003460207,0.2929061784897025
45,Argus,Fighter,Exp Lane,0.19,51.43,0.29,"Charge, Burst",0.054298642533936646,0.6110726643598619,0.004958047292143402
120,Arlott,Fighter,Exp Lane,1.35,47.98,23.86,"Charge, Burst",0.579185520361991,0.37231833910034595,0.4544241037376049
93,Atlas,Tank,Roam,0.45,49.7,0.59,"Crowd Control, Initiator",0.17194570135746606,0.49134948096885855,0.010678871090770405
108,Aulus,Fighter,Jungle,0.07,51.21,0.04,"Damage, Crowd Control",0.0,0.5958477508650524,0.0001906941266209001
36,Aurora,Mage,Mid Lane,0.21,47.26,0.03,"Crowd Control, Poke",0.06334841628959276,0.3224913494809689,0.0
77,Badang,Fighter,Exp Lane,1.13,50.09,2.36,"Charge, Burst",0.4796380090497737,0.5183391003460214,0.04443173150266972
2,Balmond,Fighter,Jungle,0.53,42.6,1.3,"Damage, Regen",0.2081447963800905,0.0,0.02421815408085431
11,Bane,Fighter,Jungle,1.11,49.9,8.04,"Push, Burst",0.47058823529411764,0.5051903114186853,0.15274599542334097
99,Barats,Tank,Jungle,0.08,48.91,0.05,"Damage, Crowd Control",0.004524886877828052,0.43667820069204133,0.0003813882532418002
87,Baxia,Tank,Jungle,0.32,50.28,0.72,"Support, Damage",0.11312217194570137,0.5314878892733566,0.013157894736842106
105,Beatrix,Marksman,Gold Lane,0.67,48.54,0.1,"Finisher, Damage",0.2714932126696833,0.4110726643598617,0.0013348588863463006
70,Belerick,Tank,Roam,0.99,48.09,3.78,"Crowd Control, Regen",0.416289592760181,0.37993079584775113,0.07151029748283753
97,Benedetta,Assassin,Exp Lane,0.59,49.58,0.6,"Chase, Burst",0.23529411764705882,0.48304498269896223,0.010869565217391304
100,Brody,Marksman,Gold Lane,0.75,51.91,0.34,"Burst, Finisher",0.3076923076923077,0.6442906574394462,0.005911517925247903
12,Bruno,Marksman,Gold Lane,0.23,50.05,0.05,"Finisher, Burst",0.07239819004524886,0.5155709342560555,0.0003813882532418002
92,Carmilla,Support,Roam,0.73,49.14,0.99,"Crowd Control, Damage",0.2986425339366516,0.45259515570934283,0.018306636155606407
91,Cecilion,Mage,Mid Lane,0.87,49.96,0.14,"Poke, Burst",0.36199095022624433,0.5093425605536335,0.0020976353928299015
61,Chang'e,Mage,Mid Lane,0.92,48.23,0.56,"Poke, Burst",0.38461538461538464,0.38961937716262973,0.010106788710907706
124,Chip,Support,Roam,0.09,47.88,1.46,"Support, Crowd Control",0.009049773755656104,0.3653979238754328,0.02726926010678871
26,Chou,Fighter,Exp Lane,0.82,44.19,1.08,"Chase, Control",0.33936651583710403,0.1100346020761247,0.02002288329519451
65,Claude,Marksman,Gold Lane,0.81,46.97,0.1,"Burst, Chase",0.33484162895927605,0.3024221453287197,0.0013348588863463006
13,Clint,Marksman,Gold Lane,0.7,50.49,0.24,"Finisher, Burst",0.2850678733031674,0.5460207612456749,0.004004576659038902
33,Cyclops,Mage,Mid Lane,0.94,51.07,0.88,"Damage, Control",0.3936651583710407,0.5861591695501733,0.016209000762776506
48,Diggie,Support,Roam,0.44,57.05,30.68,"Guard, Poke",0.16742081447963802,1.0,0.5844774980930587
85,Dyrroth,Fighter,Exp Lane,0.3,44.49,0.14,"Charge, Burst",0.10407239819004524,0.1307958477508655,0.0020976353928299015
111,Edith,Tank,Exp Lane,0.15,50.55,0.06,"Control, Burst",0.036199095022624424,0.550173010380623,0.0005720823798627002
81,Esmeralda,Tank,Exp Lane,0.88,45.42,1.36,"Regen, Mixed Damage",0.36651583710407243,0.19515570934256088,0.025362318840579712
34,Estes,Support,Roam,0.47,50.78,6.09,"Regen, Guard",0.18099547511312217,0.5660899653979241,0.11556064073226545
15,Eudora,Mage,Mid Lane,0.44,49.74,0.78,"Control, Burst",0.16742081447963802,0.494117647058824,0.014302059496567507
17,Fanny,Assassin,Jungle,0.79,42.71,7.4,"Chase, Finisher",0.3257918552036199,0.007612456747405183,0.14054157131960338
76,Faramis,Support,Mid Lane,0.21,51.86,0.51,"Guard, Charge",0.06334841628959276,0.6408304498269897,0.009153318077803204
112,Floryn,Support,Roam,1.52,53.87,36.83,"Poke, Guard",0.6561085972850679,0.779930795847751,0.7017543859649122
10,Franco,Tank,Roam,1.66,46.37,8.53,"Initiator, Control",0.7194570135746606,0.26089965397923853,0.16209000762776507
117,Fredrinn,Fighter,Jungle,1.35,53.23,28.12,"Damage, Chase",0.579185520361991,0.7356401384083044,0.5356598016781083
22,Freya,Fighter,Exp Lane,0.47,47.82,6.6,"Chase, Damage",0.18099547511312217,0.36124567474048463,0.12528604118993136
41,Gatotkaca,Tank,Roam,1.48,50.49,1.94,"Crowd Control, Burst",0.6380090497737556,0.5460207612456749,0.036422578184591915
104,Gloo,Tank,Exp Lane,0.74,54.15,50.36,"Regen, Control",0.3031674208144796,0.7993079584775087,0.9597635392829901
23,Gord,Mage,Mid Lane,0.39,51.78,0.08,"Poke, Burst",0.14479638009049775,0.6352941176470592,0.0009534706331045005
80,Guinevere,Fighter,Exp Lane,1.28,50.41,2.24,"Burst, Magic Damage",0.5475113122171946,0.540484429065744,0.04214340198321893
56,Gusion,Assassin,Jungle,1.75,49.21,6.19,"Burst, Magic Damage",0.7601809954751131,0.45743944636678213,0.11746758199847446
60,Hanabi,Marksman,Gold Lane,0.88,50.15,0.4,"Finisher, Damage",0.36651583710407243,0.5224913494809691,0.0070556826849733035
69,Hanzo,Assassin,Jungle,0.27,50.15,1.23,"Poke, Burst",0.0904977375565611,0.5224913494809691,0.02288329519450801
73,Harith,Mage,Gold Lane,0.45,47.08,0.1,"Chase, Damage",0.17194570135746606,0.31003460207612443,0.0013348588863463006
42,Harley,Assassin,Jungle,0.75,49.65,1.54,"Burst, Poke",0.3076923076923077,0.48788927335640153,0.028794813119755912
21,Hayabusa,Assassin,Jungle,1.62,51.19,52.47,"Chase, Burst",0.7013574660633485,0.5944636678200692,1.0
51,Helcurt,Assassin,Jungle,0.72,51.47,5.24,"Push, Burst",0.29411764705882354,0.6138408304498273,0.09935163996948895
35,Hilda,Fighter,Roam,0.94,52.89,24.02,"Damage, Regen",0.3936651583710407,0.7121107266435991,0.4574752097635393
49,Hylos,Tank,Roam,0.41,46.9,0.19,"Guard, Initiator",0.15384615384615383,0.2975778546712804,0.0030511060259344014
43,Irithel,Marksman,Gold Lane,1.26,54.58,2.7,"Finisher, Burst",0.5384615384615384,0.829065743944637,0.05091533180778033
121,Ixia,Marksman,Gold Lane,1.58,54.98,8.57,"Finisher, Damage",0.6832579185520362,0.8567474048442909,0.16285278413424867
54,Jawhead,Fighter,Roam,0.3,48.01,0.09,"Charge, Burst",0.10407239819004524,0.37439446366782025,0.0011441647597254007
32,Johnson,Tank,Roam,0.39,45.83,0.4,"Support, Crowd Control",0.14479638009049775,0.22352941176470598,0.0070556826849733035
